temperature_K,bit_rate_bits_per_s,Pmin_W
4.2,3.101978590138087e+27,124680.01047953806
4.2,3.818913304781846e+27,153496.27246764846
4.2,4.7015472240221297e+27,188972.59930315235
4.2,5.78817703770128e+27,232648.27681673053
4.2,7.125950633568367e+27,286418.35327123397
4.2,8.77291280161332e+27,352615.8637969615
4.2,1.0800523745162496e+28,434113.0586821407
4.2,1.32967596746621e+28,534446.0277228958
4.2,1.6369930016117018e+28,657968.1279708373
4.2,2.015337685941735e+28,810038.8719698994
4.2,2.481126055137755e+28,997256.4721726831
4.2,3.0545682465154193e+28,1227744.1314288797
4.2,3.76054539965816e+28,1511502.5014317913
4.2,4.629689226627258e+28,1860843.6019772629
4.2,5.699711094326076e+28,2290925.028400276
4.2,7.017038286703837e+28,2820407.6259681988
4.2,8.6388284427404e+28,3472265.1671295287
4.2,1.0635449574860068e+29,4274781.162783985
4.2,1.3093533273536067e+29,5262776.058315686
4.2,1.6119733573881556e+29,6479118.061319197
4.2,1.984535457805803e+29,7976583.154470701
4.2,2.443204762186472e+29,9820144.997825606
4.2,3.0078825180430836e+29,12089794.077338764
4.2,3.7030695840051255e+29,14884008.419918358
4.2,4.55892949998105e+29,18324026.46621134
4.2,5.6125972559549656e+29,22559107.497216493
4.2,6.909790545715645e+29,27773007.859892696
4.2,8.5067934163641e+29,34191953.98935125
4.2,1.0472898382363531e+30,42094458.16987716
4.2,1.2893412965257104e+30,51823402.93179477
4.2,1.5873361110102054e+30,63800918.41526589
4.2,1.9542040079740515e+30,78546698.21641603
4.2,2.4058630546440668e+30,96700548.42383763
4.2,2.961910329772535e+30,119050148.22782913
4.2,3.64647222321273e+30,146565226.6101775
4.2,4.4892512582185893e+30,180439638.01022133
4.2,5.526814857144591e+30,222143162.59242108
4.2,6.804181968927094e+30,273485278.6823229
4.2,8.376776400682925e+30,336693674.39941007
4.2,1.0312831606721785e+31,414510905.0357903
4.2,1.2696351276599676e+31,510313390.05723965
4.2,1.563075417945811e+31,628257912.8991235
4.2,1.924336141115976e+31,773461980.0512975
4.2,2.369092074182632e+31,952225865.0499973
4.2,2.916640776023707e+31,1172305971.665316
4.2,3.590739891061033e+31,1443251377.2664545
4.2,4.420637972028511e+31,1776818158.6779523
4.2,5.44234354830025e+31,2187479477.7520213
4.2,6.700187503509577e+31,2693053558.8102055
4.2,8.248746552614582e+31,3315476805.3291335
4.2,1.0155211276345609e+32,4081755600.7062244
4.2,1.2502301459914586e+32,5025138090.882516
4.2,1.539185522990199e+32,6186556791.4132
4.2,1.8949247718738002e+32,7616404612.407218
4.2,2.3328830978641535e+32,9376721361.45504
4.2,2.8720631177978515e+32,11543885594.9354
4.2,3.535859366535183e+32,14211928614.702482
4.2,4.353073364731865e+32,17496614401.481293
4.2,5.3591632908484485e+32,21540462509.60087
4.2,6.59778247953952e+32,26518931861.940437
4.2,8.12267350047977e+32,32648033754.37227
4.2,1e+33,40193704391.102135
20.0,1000000.0,1.913985923385816e-16
20.0,1231121.7482038895,2.3563496960363816e-16
20.0,1515660.7589006044,2.90095335716402e-16
20.0,1865962.923181746,3.5714267685297104e-16
20.0,2297227.536071151,4.396861166854465e-16
20.0,2828166.780230035,5.413071406347674e-16
20.0,3481817.6306889663,6.664149932935235e-16
20.0,4286541.408420925,8.204379915728061e-16
20.0,5277254.352483532,1.010059054478001e-15
20.0,6496942.604146125,1.243505668938127e-15
20.0,7998527.3367967075,1.5309068730445537e-15
20.0,9847160.957933763,1.884732745879961e-15
20.0,12123054.013376528,2.3203354730048597e-15
20.0,14924955.45051829,2.8566154639452416e-15
20.0,18374437.24610725,3.5168414239185316e-15
20.0,22621169.304690264,4.329659961970447e-15
20.0,27849413.500806443,5.330338541509443e-15
20.0,34286018.63556583,6.562295703741676e-15
20.0,42210263.20156903,8.078984959021342e-15
20.0,51965973.02486197,9.946214086463284e-15
20.0,63976439.55748424,1.2245000474136831e-14
20.0,78762786.11187062,1.507508639047682e-14
20.0,96966578.93145521,1.855926671136849e-14
20.0,119377664.17144357,2.2848716879082226e-14
20.0,146968438.61124474,2.8129552268391487e-14
20.0,180936041.07387203,3.463090356485489e-14
20.0,222754295.19995564,4.2634858538644374e-14
20.0,274237657.32649523,5.2488701578521494e-14
20.0,337619944.1111333,6.46199820483015e-14
20.0,415651255.82259876,7.955506526820908e-14
20.0,511717300.711461,9.79419710314723e-14
20.0,629986297.838068,1.2057849059880062e-13
20.0,775589832.3389002,1.48446802141782e-13
20.0,954845510.2782303,1.8275608656806793e-13
20.0,1175531073.8783674,2.249949927905807e-13
20.0,1447221870.7411344,2.7699622886146184e-13
20.0,1781706319.5457325,3.4101608152180825e-13
20.0,2193497398.9050555,4.198323144487678e-13
20.0,2700462352.420682,5.168646929166532e-13
20.0,3324597932.2709312,6.363233643284153e-13
20.0,4092984818.452434,7.833915327149808e-13
20.0,5038962625.06515,9.644503532841936e-13
20.0,6203576476.104281,1.1873558049910979e-12
20.0,7637357916.378012,1.461779554380674e-12
20.0,9402517429.670132,1.7996286004778417e-12
20.0,11575643695.53301,2.215561908737995e-12
20.0,14251026703.029963,2.727626450339472e-12
20.0,17544748908.334595,3.3580402439891077e-12
20.0,21599721947.827213,4.134156375718894e-12
20.0,26591887445.126907,5.089649824623291e-12
20.0,32737850959.48577,6.26597858983586e-12
20.0,40304280305.68042,7.71418251572685e-12
20.0,49619476030.028984,9.497097864725538e-12
20.0,61087616075.05039,1.1692083726084354e-11
20.0,75206292695.92422,1.4394378557003248e-11
20.0,92588102539.73946,1.7721232493406384e-11
20.0,113987226661.60526,2.1816994727610083e-11
20.0,140332153760.5482,2.685937668961031e-11
20.0,172765966466.90347,3.306716278577992e-11
20.0,212695938666.86917,4.070970325697205e-11
20.0,261854595847.4238,5.011860104258511e-11
20.0,322374887814.90265,6.170209973308053e-11
20.0,396882735463.71497,7.59627968912407e-11
20.0,488610967116.0316,9.351945130720143e-11
20.0,601539588027.4833,1.1513383038439059e-10
20.0,740568469226.2441,1.417437625402413e-10
20.0,911729948498.494,1.7450382873553924e-10
20.0,1122450568085.306,2.148354587011688e-10
20.0,1381873305653.628,2.644886054923669e-10
20.0,1701254279852.5857,3.2561767437377226e-10
20.0,2094451143151.4688,4.0087500052112417e-10
20.0,2578524352884.2764,4.935259314528026e-10
20.0,3174477409109.187,6.07590507514126e-10
20.0,3908168177536.264,7.480178878028808e-10
20.0,4811430839003.245,9.209010897196618e-10
20.0,5923457145875.794,1.1337413594985392e-09
20.0,7292496916841.444,1.3957736445168988e-09
20.0,8977951553033.332,1.7183672893345622e-09
20.0,11052951411260.197,2.1155193413019406e-09
20.0,13607528864243.33,2.6044618698227912e-09
20.0,16752524724082.104,3.2064096503065996e-09
20.0,20624397525140.883,3.947480654143291e-09
20.0,25391144336803.473,4.8598292839299325e-09
20.0,31259590004822.84,5.9830415240042864e-09
20.0,38484361094874.25,7.365852540608606e-09
20.0,47378933909631.44,9.068261256806148e-09
20.0,58329235942861.88,1.1164133651648763e-08
20.0,71810390925373.42,1.3744407738399727e-08
20.0,88407334015250.62,1.6921039282925772e-08
20.0,108840191606900.31,2.0831859463422223e-08
20.0,133995526965933.7,2.5646555240946163e-08
20.0,164964807409802.06,3.157403192364133e-08
20.0,203091762090473.06,3.8871477379678655e-08
20.0,250030685190632.12,4.7855521186938025e-08
20.0,307818214256508.0,5.891597290487154e-08
20.0,378961698064470.8,7.253273555977829e-08
20.0,466547988223446.8,8.929662820436487e-08
20.0,574377374882658.8,1.0993502102367066e-07
20.0,707128477894298.1,1.3534339527149248e-07
20.0,870561247909985.6,1.666241973944902e-07
20.0,1071766885445503.4,2.0513467318937517e-07
20.0,1319475521676703.2,2.5254575747413663e-07
20.0,1624435010958865.5,3.1091457444303523e-07
20.0,1999877270535287.0,3.8277369443037864e-07
20.0,2462092401494620.5,4.712410198535882e-07
20.0,3031135501567576.0,5.801550681875345e-07
20.0,3731696837732755.5,7.142415217763858e-07
20.0,4594173134636467.0,8.793182709291486e-07
20.0,5655986461065002.0,1.082547846933917e-06
20.0,6963207939763890.0,1.3327481978316434e-06
20.0,8572556731909307.0,1.6407752912300729e-06
20.0,1.055386103036523e+16,2.0199941449489175e-06
20.0,1.2993087842004172e+16,2.4868587230911375e-06
20.0,1.599607301861491e+16,3.0616258587080594e-06
20.0,1.9693113379074136e+16,3.769234179518878e-06
20.0,2.424462017082321e+16,4.6403861724791436e-06
